ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.1;2.0;7.5;0.5;0.01386256715842431;-0.02128870393731827;0.08533343098857994;2.693651738966043E-4;0.001146338441676414;0.05502583218751272
1.6;0.1;2.0;7.5;0.5;0.02140315110986036;-0.03295062596620425;0.04188022922850105;-0.001374738242535159;0.003671111000680993;0.0453019336308019
1.8;0.1;2.0;7.5;0.5;0.01180164131647416;-0.00118404715987894;-0.03321812650691582;-0.001293610054538014;0.001788493436361686;0.04080923406943203
2.0;0.1;2.0;7.5;0.5;0.01928265549369149;-0.02156553627282158;0.04514155462515698;-0.001698347304491919;6.482781341766007E-5;0.04305037013815088
1.4;0.2;2.0;7.5;0.5;0.008267875636220366;0.01673766419264376;-0.1194191120469626;-0.003272091470881625;-0.002493634185091175;0.1179228572039496
1.6;0.2;2.0;7.5;0.5;0.005736733258075975;0.006230914261743993;-0.1067769178856754;-6.288256739334728E-4;0.001410709789317773;0.1240325284438597
1.8;0.2;2.0;7.5;0.5;0.0193822904739674;0.004558003960777186;-0.1011392831227149;-0.001052639982022541;-5.443725467364317E-4;0.1263911226411494
2.0;0.2;2.0;7.5;0.5;-0.001116958978653025;-0.009155752225386692;-0.09337073938957181;-9.121026812588346E-4;0.001370807950954566;0.1253634180208471
1.4;0.3;2.0;7.5;0.5;-0.003664393325978054;0.00398830067745183;-0.1315916963888369;0.00283957670997172;2.861318412319611E-4;0.1568863447795148
1.6;0.3;2.0;7.5;0.5;0.01178969356220641;0.007848631378478972;-0.1579788263190425;0.002791498257291403;-0.001974596657200073;0.165718560870076
1.8;0.3;2.0;7.5;0.5;0.003355179941695451;-7.955112248814794E-4;-0.172179849571085;-0.001378686504981722;-9.884922099619511E-4;0.1710102491279834
