ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;DTHETA;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.5;1.5;7.5;0.5;45;2.413981625481865;-0.007958955755386302;-0.00420488163585281;-2.374266341464885;0.005892262291833702;-0.01019785527354706
1.6;0.5;1.5;7.5;0.5;45;2.268111474921193;0.01629148408053763;0.003820486266041312;-2.232106080548434;0.002255240354640094;0.003600933103746702
1.8;0.5;1.5;7.5;0.5;45;2.122584146840042;0.01233424294651008;-0.007724397610111268;-2.104644553966312;-0.006803321625061996;-6.201300144664246E-4
2.0;0.5;1.5;7.5;0.5;45;2.004915729806009;-0.005536420737139657;-0.007553841470770203;-1.987676786975659;-4.968110649457239E-4;0.001452513139031314
1.4;0.1;2.0;7.5;0.5;45;0.1104365936098665;-0.006785251289148558;-0.08197101046668463;-0.1186022186527885;1.466251739782738E-5;-0.001525462556622569
1.6;0.1;2.0;7.5;0.5;45;0.1086841214760799;-0.02535344572768637;0.04177112836565892;-0.115188201850515;3.635906733975654E-4;-6.366406144937939E-4
1.8;0.1;2.0;7.5;0.5;45;0.09569589825576565;-0.02269737831641685;0.04341635486030147;-0.1122634652946009;0.003082246533806631;0.003045381058768522
2.0;0.1;2.0;7.5;0.5;45;0.1192403358473354;-0.006172165238772521;-0.08615275654099053;-0.1099539012484229;0.003868904666008342;6.490073365777931E-4
1.4;0.2;2.0;7.5;0.5;45;0.4152397945534496;0.01367463208924812;-0.02020980366433684;-0.4114463813906062;-0.003040002086021071;-0.003113549307390774
1.6;0.2;2.0;7.5;0.5;45;0.4032785888857;0.01049089438410522;-0.001850173709744633;-0.3982094050014324;-0.00101075270184679;-9.10516829613784E-5
1.8;0.2;2.0;7.5;0.5;45;0.3998464410657192;0.02256418142978546;0.01839635823940107;-0.3846256711394633;-0.002632098712744103;0.003220153897215191
2.0;0.2;2.0;7.5;0.5;45;0.3789933118400862;0.003579115827933832;-0.001468706795426661;-0.3746958165806686;1.609649164208945E-4;-3.044863811500422E-4
1.4;0.3;2.0;7.5;0.5;45;0.7292916834894408;0.004899465987215926;0.01199610329654502;-0.730763884818395;-1.069559306155427E-4;-6.993948555547055E-4
1.6;0.3;2.0;7.5;0.5;45;0.714644864387518;0.00504508752394359;-0.02015841350755297;-0.7062960597672596;0.006224318954410349;-0.004072022871151788
1.8;0.3;2.0;7.5;0.5;45;0.6849264047536221;0.001808322182461179;0.0192576883027127;-0.6775986299589758;0.004708739074962202;-5.033702898493285E-4
2.0;0.3;2.0;7.5;0.5;45;0.6516181271996432;0.007074514473638472;-0.01186487998752839;-0.6538778436310699;-0.001077824083167762;5.505540644581291E-4
1.4;0.4;2.0;7.5;0.5;45;1.060156119224651;0.004548498470353475;-0.0093106595273024;-1.04639588948882;-0.002153482951122092;0.005367693004020058
1.6;0.4;2.0;7.5;0.5;45;1.012305458183592;6.750771936122034E-4;-0.01488716623069162;-0.9934584067477338;8.264917337114206E-4;0.004220922102153564
1.8;0.4;2.0;7.5;0.5;45;0.9469778192481973;0.008935749636406714;-0.04665269829646185;-0.9509719584729861;-0.002527427542358114;7.180074657305004E-4
2.0;0.4;2.0;7.5;0.5;45;0.9178986609688641;1.161795131304332E-5;0.003639603356501408;-0.9080444508501692;-0.0070255384382967;-0.007628513691116408
1.4;0.5;2.0;7.5;0.5;45;1.348859575403212;7.261784778924453E-4;0.01452315727303618;-1.346240055714123;-0.005704743234550262;0.004467680524658145
1.6;0.5;2.0;7.5;0.5;45;1.274563902952665;0.01983464096007167;-0.005543177956111098;-1.273568112089063;-0.006536648892248688;-0.002243134240081951
1.8;0.5;2.0;7.5;0.5;45;1.187320081025536;0.007962423738731312;-0.00342387693046693;-1.209784574985888;-0.006955297411938602;0.007503283284380943
2.0;0.5;2.0;7.5;0.5;45;1.131929169141017;0.02047700397271964;0.01984676009997853;-1.140050497767728;0.003206106785599922;-0.001533978224974463
1.4;0.1;2.5;7.5;0.5;45;0.04024291933457672;-0.008126541977291266;-0.02749723607426222;-0.05587891761727459;0.002131357543619153;1.561444822668282E-4
1.6;0.1;2.5;7.5;0.5;45;0.06346969273299657;0.004841260701255876;-0.03568279319590705;-0.05446350648409233;-9.20970668927341E-4;-0.002698020884122214
1.8;0.1;2.5;7.5;0.5;45;0.06841205114623769;-0.01135224402190634;0.04060505366569103;-0.05386719403057506;0.001123616574988456;-8.967334552199571E-4
2.0;0.1;2.5;7.5;0.5;45;0.03312588728500334;-0.03589722782755755;0.02634755956943082;-0.05038797744861537;0.001430131498068446;-0.003451451909776711
1.4;0.2;2.5;7.5;0.5;45;0.2063954694818516;0.009738879267449348;0.004430678220665077;-0.2100424767539359;-5.780423629321882E-4;-0.002016435057641231
1.6;0.2;2.5;7.5;0.5;45;0.211165343281687;0.006742142355436596;0.01479857197291738;-0.2029230589404487;-4.393503401091997E-4;-2.05671596603283E-4
