 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; R_ROT_OUT ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.8798459613324309E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.9420962269396175E+02 ;    0.5881560519726066E+01 ;    0.6330886645034232E-01 ;    0.4158891327457376E+00 ;    0.2525954704101948E-03 ;   -0.2174228883941674E-03 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.7698652161658769E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.8585470708076613E+02 ;    0.5881560519726066E+01 ;    0.5769436315827485E-01 ;    0.4158891327457376E+00 ;    0.2537839351154558E-03 ;   -0.1809328816167166E-03 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.6843246365918907E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.7935643938161397E+02 ;    0.5881560519726066E+01 ;    0.5332752726444461E-01 ;    0.4158891327457376E+00 ;    0.2736910812269993E-03 ;   -0.1442853174379351E-03 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.6158921729327016E+03 ;    0.2240092658138636E+04 ;    0.2400499001973739E+03 ;    0.7415782522229225E+02 ;    0.5881560519726066E+01 ;    0.4983405854938041E-01 ;    0.4158891327457376E+00 ;    0.1662876208876616E-03 ;   -0.1724891970577167E-03 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1818412782554296E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.2215632233317237E+02 ;    0.3297974496841885E+01 ;    0.1488904860789184E-01 ;    0.2332020130897189E+00 ;    0.2434872416173078E-04 ;   -0.8610668523339857E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1591111184735009E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.2121934995915118E+02 ;    0.3297974496841885E+01 ;    0.1425940317254960E-01 ;    0.2332020130897189E+00 ;    0.1598293243710286E-04 ;   -0.4471037604883222E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1414321053097786E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.2049059366824580E+02 ;    0.3297974496841885E+01 ;    0.1376967894506119E-01 ;    0.2332020130897189E+00 ;    0.1423081514267336E-04 ;   -0.7610280661726459E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.1272888947788007E+03 ;    0.4480185316277272E+03 ;    0.4800998003947478E+02 ;    0.1990758863552151E+02 ;    0.3297974496841885E+01 ;    0.1337789956307046E-01 ;    0.2332020130897189E+00 ;    0.2384724975623681E-04 ;   -0.6770854942507854E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3636825565108593E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.2965210132534191E+02 ;    0.3297974496841885E+01 ;    0.1992621209062977E-01 ;    0.2332020130897189E+00 ;    0.2232885544106330E-04 ;   -0.2807935032306433E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1000000000000000E+02 ;    0.7500000000000000E+01 ;    0.3182222369470019E+03 ;    0.8960370632554544E+03 ;    0.9601996007894957E+02 ;    0.2777815657729952E+02 ;    0.3297974496841885E+01 ;    0.1866692121994529E-01 ;    0.2332020130897189E+00 ;    0.4324303641977079E-04 ;   -0.2540340483356985E-04 ;
