 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; L_BAR_PH ; R_ST_OUT_PH ; R_SC ; K_W_SLOT ; H_ST_PH ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.5869735875256528E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.9375000000000002E+00 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.5661402541923194E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.8333333333333335E+00 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.5494735875256528E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.7500000000000000E+00 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.8280450160970815E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2142857142857143E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.7744735875256528E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1875000000000000E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.7328069208589862E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1666666666666667E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.6994735875256528E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1500000000000000E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1042330730382796E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3214285714285715E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9619735875256531E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2812500000000001E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.8994735875256531E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2500000000000001E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.8494735875256527E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2250000000000000E+01 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1256616444668510E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.4285714285714287E+01 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1149473587525653E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3750000000000001E+01 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1066140254192320E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3333333333333334E+01 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.9994735875256527E+01 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3000000000000000E+01 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1470902158954224E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.5357142857142858E+01 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1336973587525653E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.4687500000000000E+01 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1232806920858986E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.4166666666666667E+01 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.2500000000000000E+01 ;    0.7500000000000000E+01 ;    0.1149473587525653E+02 ;    0.2730769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3750000000000000E+01 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5941243477264309E+01 ;    0.2230769230769232E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1071428571428572E+01 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5673386334407166E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.9375000000000002E+00 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5465053001073832E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.8333333333333335E+00 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.5298386334407166E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.7500000000000000E+00 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8084100620121452E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2142857142857143E+01 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.7548386334407166E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1875000000000000E+01 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.7131719667740500E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1666666666666667E+01 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6798386334407166E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.1500000000000000E+01 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1022695776297860E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3214285714285715E+01 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.9423386334407168E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2812500000000001E+01 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8798386334407168E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2500000000000001E+01 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.8298386334407166E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.2250000000000000E+01 ;
    0.1400000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1236981490583574E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.4285714285714287E+01 ;
    0.1600000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1129838633440717E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3750000000000001E+01 ;
    0.1800000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1046505300107383E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3333333333333334E+01 ;
    0.2000000000000000E+01 ;    0.4000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.9798386334407166E+01 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3000000000000000E+01 ;
    0.1400000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1451267204869288E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.5357142857142858E+01 ;
    0.1600000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1317338633440717E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.4687500000000000E+01 ;
    0.1800000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1213171966774050E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.4166666666666667E+01 ;
    0.2000000000000000E+01 ;    0.5000000000000000E+00 ;    0.3000000000000000E+01 ;    0.7500000000000000E+01 ;    0.1129838633440717E+02 ;    0.2230769230769231E+01 ;    0.1818181818181818E+01 ;    0.2424242424242424E+00 ;    0.3750000000000000E+01 ;
