ALPHA_H;BETA;D_AGAP;R_ST_OUT;JF_RMS;IF_HAT;A_CU;P_CU_TOT;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.6;0.3;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.002365898105431069;-0.0132078753593836;0.007078903149882169;-0.009564838658767335;0.001715918673416643;2.763631891411524E-4;0.001263384841010069
1.8;0.3;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0022089814447508894;-0.006280456830396602;-0.01868375120619517;-0.01167416783498328;1.826997948249363E-4;0.001720886764849607;2.13559227330364E-5
2.0;0.3;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.002083448116206745;0.001357060741647142;0.007023295151825208;0.003407224020597149;4.590966670454477E-4;0.002804987225800167;-4.422249299177338E-4
1.4;0.4;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.003105648077209063;-0.008955681401784505;-0.001094804423403006;-0.01630556980660231;7.764165633687009E-5;0.002506109406042306;-7.139496826272423E-4
1.6;0.4;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.002836648087471611;0.01012836710425936;-0.008099107333591284;0.04137099131446712;0.001718850395436883;0.002172177153059928;9.150402377335744E-4
1.8;0.4;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.00262742587323137;-0.01206991151755851;-0.00282548618836947;0.02597621864892225;4.78020958373776E-4;0.001646763497950137;-0.001666682174086273
2.0;0.4;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0024600481018391776;-0.002153884491731066;6.184718062063787E-4;0.00858815729965791;4.971259975005836E-4;2.793298798498712E-4;0.002202942987215488
1.4;0.5;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0036436480566839676;0.001905539477107213;-7.767705066062548E-4;0.005799104301508787;0.002557553886782568;0.002689008152192551;-8.238107011670002E-4
1.6;0.5;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.0033073980695121513;-0.02727270735058343;-0.004223848212295525;-0.001798062342790044;3.10274547050255E-4;0.002497017102126764;0.001487847787852548
1.8;0.5;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.003045870301711851;-5.891555500039808E-4;-0.01129660715209742;0.001689962307197799;0.002287336552559112;5.322808368685241E-4;-5.661768370158796E-4
2.0;0.5;3.0;7.5;10;0.3522439201527112;0.024907406457171488;0.002836648087471611;-0.005294694438584821;-0.01318951878035223;0.006375945874703847;-3.330723509977194E-4;0.001906451880997195;0.002719100274128892
