 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; TX_ROT ; TX_ST ; TY_ROT ; TY_ST ; TZ_ROT ; TZ_ST ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.7290742772256870E-03 ;    0.6368704529919644E-03 ;    0.1649476393566172E-03 ;    0.3857070386536274E-05 ;   -0.1010167593834791E-05 ;   -0.2374501690916490E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1250000000000000E+01 ;    0.7500000000000000E+01 ;   -0.6613948832988668E-03 ;    0.7396145587309007E-03 ;   -0.6036195558906875E-04 ;    0.3961028933753440E-05 ;    0.5229501012796565E-04 ;   -0.1520345749986141E-05 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2151900661646272E-03 ;    0.1803187297606798E-03 ;   -0.9596786528857164E-04 ;    0.6957906749717556E-06 ;   -0.4835035449247050E-04 ;    0.2275762039102604E-05 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1551630930878537E-03 ;    0.1815337002053622E-03 ;   -0.4918734380564096E-04 ;   -0.1190253917900041E-04 ;   -0.1396664108672492E-04 ;    0.1179526491747144E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2334088575225863E-03 ;    0.2010386516038559E-03 ;   -0.1411726424967641E-03 ;   -0.3262178992934107E-06 ;    0.2038211758774115E-04 ;    0.3835308289965231E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2957869909893239E-03 ;    0.1882630824067910E-03 ;    0.1640371554076956E-04 ;   -0.2828307442806186E-05 ;   -0.1662445079833097E-05 ;   -0.1205075411878361E-05 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2605741321228021E-03 ;    0.2501941636697020E-03 ;   -0.1226649814802164E-03 ;   -0.6652539777776479E-05 ;    0.2332803083602760E-04 ;    0.8016504978333985E-05 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.9719922737376791E-04 ;    0.3190127912554006E-03 ;   -0.6989867128663906E-04 ;    0.9733352154111041E-05 ;    0.2719835906853323E-04 ;    0.8310667797869196E-05 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.2349643409005440E-03 ;    0.3709592754281279E-03 ;   -0.1613932408954491E-03 ;   -0.2243575851283159E-05 ;   -0.1715181180653404E-04 ;    0.1691786241219176E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.3264563250447576E-03 ;    0.4159209742329291E-03 ;    0.4032281526475953E-04 ;   -0.3670500166502858E-05 ;   -0.5673749970189275E-06 ;   -0.1126112791644889E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.1522508042096302E-03 ;    0.9146844111685104E-04 ;    0.2419042133133988E-04 ;   -0.3488376124484678E-05 ;    0.2264361076121066E-04 ;    0.1740878549485399E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.7017776286679376E-04 ;    0.2489193897276209E-03 ;   -0.1517699762973475E-03 ;    0.1918512477783208E-04 ;   -0.7309397439685647E-04 ;    0.8710794014237445E-05 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4593293806881850E-03 ;    0.3751899243265164E-03 ;    0.1781373832235776E-04 ;   -0.4992091148305656E-06 ;    0.3560488163310023E-04 ;   -0.1695730165427008E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1500000000000000E+01 ;    0.7500000000000000E+01 ;   -0.4371816623454761E-03 ;    0.4816683886174481E-03 ;    0.1383785572873912E-03 ;    0.4806251190951624E-05 ;    0.5501674090256623E-04 ;   -0.4339644445669789E-05 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;   -0.6354838717100762E-04 ;    0.1056847206452684E-03 ;    0.7241021349409589E-04 ;   -0.2146524006578127E-05 ;   -0.4102666270486629E-04 ;   -0.3133825638366274E-05 ;
