 ALPHA_H ; BETA ; D_AGAP ; R_ROT_OUT ; JT_RMS ; V_FE_ST ; V_FE_ROT ; V_PM ; V_COIL ; IT_HAT ; P_CU_TOT ; A_CU ; TZ_ROT ; TZ_ST ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3121454239143705E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.1397178319053605E+03 ;    0.1027843879731637E+02 ;    0.3380053789454483E-01 ;    0.1211325628932218E+01 ;    0.7129745782217929E-04 ;   -0.2803661758864120E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.2809308815229334E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.1336612037606994E+03 ;    0.1027843879731637E+02 ;    0.3233531841378840E-01 ;    0.1211325628932218E+01 ;    0.1211496953815194E-03 ;   -0.2544983148472131E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.6019947461205716E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1959579503914992E+03 ;    0.1027843879731637E+02 ;    0.4740614735871150E-01 ;    0.1211325628932218E+01 ;    0.1673099336399029E-03 ;   -0.3827224118559109E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.5267454028555002E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1813571503999055E+03 ;    0.1027843879731637E+02 ;    0.4387392182474514E-01 ;    0.1211325628932218E+01 ;    0.1937270756035074E-03 ;   -0.3383528054174366E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4682181358715558E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1700009726286660E+03 ;    0.1027843879731637E+02 ;    0.4112663529832689E-01 ;    0.1211325628932218E+01 ;    0.2121901642812594E-03 ;   -0.3785490237030522E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.1750000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4213963222844001E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.1609160304116743E+03 ;    0.1027843879731637E+02 ;    0.3892880607719225E-01 ;    0.1211325628932218E+01 ;    0.1631149656843584E-03 ;   -0.3876164791514775E-04 ;
    0.1400000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1838349547292929E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1707556211306347E+03 ;    0.1326029676927266E+02 ;    0.4130919986392317E-01 ;    0.1562740961016461E+01 ;    0.5697497303220711E-04 ;   -0.1091930567973950E-04 ;
    0.1600000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1608555853881313E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1644767511979793E+03 ;    0.1326029676927266E+02 ;    0.3979021564981517E-01 ;    0.1562740961016461E+01 ;    0.4597714057705518E-04 ;   -0.9230721405706868E-05 ;
    0.1800000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1429827425672278E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1595931856948028E+03 ;    0.1326029676927266E+02 ;    0.3860878348328672E-01 ;    0.1562740961016461E+01 ;    0.2853098716704726E-04 ;   -0.7419919311120697E-05 ;
    0.2000000000000000E+01 ;    0.1000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.1286844683105050E+02 ;    0.8212522866555034E+02 ;    0.3600748502960609E+02 ;    0.1556863332922617E+03 ;    0.1326029676927266E+02 ;    0.3766363775006397E-01 ;    0.1562740961016461E+01 ;    0.1608264853459518E-04 ;   -0.1282331847609205E-04 ;
    0.1400000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3676699094585858E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.2209865805918781E+03 ;    0.1326029676927266E+02 ;    0.5346107357678717E-01 ;    0.1562740961016461E+01 ;    0.1263763579456592E-03 ;   -0.2811872150548089E-04 ;
    0.1600000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3217111707762626E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.2084288407265672E+03 ;    0.1326029676927266E+02 ;    0.5042310514857117E-01 ;    0.1562740961016461E+01 ;    0.1249613770068093E-03 ;   -0.2215373415549596E-04 ;
    0.1800000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.2859654851344557E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.1986617097202144E+03 ;    0.1326029676927266E+02 ;    0.4806024081551429E-01 ;    0.1562740961016461E+01 ;    0.9428948794435303E-04 ;   -0.2230523724284777E-04 ;
    0.2000000000000000E+01 ;    0.2000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.2573689366210100E+02 ;    0.1642504573311007E+03 ;    0.7201497005921217E+02 ;    0.1908480049151321E+03 ;    0.1326029676927266E+02 ;    0.4616994934906877E-01 ;    0.1562740961016461E+01 ;    0.1536179402435118E-03 ;   -0.2700113767127655E-04 ;
    0.1400000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.5515048641878786E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.2712175400531215E+03 ;    0.1326029676927266E+02 ;    0.6561294728965117E-01 ;    0.1562740961016461E+01 ;    0.2416101149942940E-03 ;   -0.4001574697050017E-04 ;
    0.1600000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4825667561643938E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.2523809302551552E+03 ;    0.1326029676927266E+02 ;    0.6105599464732718E-01 ;    0.1562740961016461E+01 ;    0.2058860068236339E-03 ;   -0.3968206151678931E-04 ;
    0.1800000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.4289482277016835E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.2377302337456259E+03 ;    0.1326029676927266E+02 ;    0.5751169814774184E-01 ;    0.1562740961016461E+01 ;    0.2028361314987117E-03 ;   -0.3658078566730101E-04 ;
    0.2000000000000000E+01 ;    0.3000000000000000E+00 ;    0.2000000000000000E+01 ;    0.7500000000000000E+01 ;    0.6000000000000000E+01 ;    0.3860534049315150E+02 ;    0.2463756859966510E+03 ;    0.1080224550888183E+03 ;    0.2260096765380024E+03 ;    0.1326029676927266E+02 ;    0.5467626094807357E-01 ;    0.1562740961016461E+01 ;    0.1351727510556567E-03 ;   -0.3135808923972236E-04 ;
