ALPHA_H;BETA;D_AGAP;R_ST_OUT;JF_RMS;IF_HAT;A_CU;P_CU_TOT;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.8;0.3;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.025930436238687116;-0.01040965778566422;-0.05771253266040035;0.006215387734534503;0.02571205772783095;0.04096599282608574;-0.00267961825846447
2.0;0.3;1.5;7.5;6;7.074436678452167;0.8337303580680603;0.024417715877008424;-0.04776190514045076;-0.0386681580583288;-0.03112409582318543;0.02103392569966633;0.03091381309079821;0.005617471642390591
1.4;0.1;1.75;7.5;6;10.278438797316372;1.211325628932218;0.028567611177557635;-0.002374114590430415;-0.02147265126238616;-0.03609406338989549;0.009329780859763949;0.01949228884981282;-0.001128283296202888
1.6;0.1;1.75;7.5;6;10.278438797316372;1.211325628932218;0.027390202666235517;0.002990716386337235;-0.02258901539355148;-0.03439084315055544;0.01159587941639058;0.0159391705939892;5.03948440492409E-4
1.8;0.1;1.75;7.5;6;10.278438797316372;1.211325628932218;0.026474440490762755;-0.03721738243013981;-0.0152771242477515;-0.02891799764567102;0.01072069489312023;0.01564699094611518;-7.966168587558173E-4
2.0;0.1;1.75;7.5;6;10.278438797316372;1.211325628932218;0.02574183075038455;-0.002086662335559584;-0.01901488564759845;0.005471939231821049;0.01002196859942752;0.0178604567600724;-4.687403276022135E-4
1.4;0.2;1.75;7.5;6;10.278438797316372;1.211325628932218;0.03798687926813457;-0.03974720058211253;-0.04055750539486012;0.007419570651556871;0.02311387776929141;0.0375366318734527;0.003112945269020819
1.6;0.2;1.75;7.5;6;10.278438797316372;1.211325628932218;0.03563206224549032;-0.03914252809404322;-0.0286986892201739;-0.01685268785778767;0.02255015041971411;0.03696121123161459;0.001339624491559429
1.8;0.2;1.75;7.5;6;10.278438797316372;1.211325628932218;0.03380053789454482;-0.02290634499945167;-0.05925499660686107;0.01286964549926836;0.02134878227100702;0.03546206625749579;0.006364334307668802
2.0;0.2;1.75;7.5;6;10.278438797316372;1.211325628932218;0.0323353184137884;-0.02320539389423354;-0.04961903058571943;0.02633543597382375;0.01898072919787547;0.03414712336004588;0.00317472199787165
1.4;0.3;1.75;7.5;6;10.278438797316372;1.211325628932218;0.0474061473587115;-0.03670207322857024;-0.1018681909931258;0.00816165490605551;0.03137111973766775;0.05698298783398304;-1.775471728162094E-4
1.6;0.3;1.75;7.5;6;10.278438797316372;1.211325628932218;0.04387392182474514;-0.04864280205702091;-0.07076706874283292;0.03058370458470797;0.0328556822623001;0.0543109569171796;-0.001206997194121615
1.8;0.3;1.75;7.5;6;10.278438797316372;1.211325628932218;0.04112663529832687;-0.0555642371673277;-0.1015223106685286;-0.01273639672249007;0.02983787463301722;0.04755481962124587;-0.003452807569179039
2.0;0.3;1.75;7.5;6;10.278438797316372;1.211325628932218;0.03892880607719225;-0.03538792919351547;-0.08495981276744416;0.01660034839186486;0.02563544352179399;0.04600287092560167;0.005542682553248903
1.4;0.1;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.04130919986392316;-0.02812336468999202;-0.01140670164722401;0.04313307681036737;0.01510342591178827;0.0180067111503464;1.728320838620904E-4
1.6;0.1;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.03979021564981517;-0.01728066920188151;-0.03140815174626542;-0.02973510291825861;0.01083403944898525;0.01915969742287691;-6.413113392777178E-4
1.8;0.1;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.03860878348328672;-0.01792099621404999;-0.03532937626598857;-0.03668428121453892;0.01223566119517778;0.01964451989748007;-0.001011635620363333
2.0;0.1;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.03766363775006397;-0.004414331203489256;6.721125131764222E-4;-0.007094678455987293;0.010279360069834;0.01659910698543244;-0.001019318338206063
1.4;0.2;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.05346107357678717;-0.02326439191744206;-0.05214842595956736;0.02080697069695242;0.02498469422268038;0.03987210392772381;-0.001587477367245561
1.6;0.2;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.050423105148571165;-0.03264605033758461;-0.03804973379580454;-0.02871036537660697;0.0213528707142092;0.03802632135924047;-0.002259281804433247
1.8;0.2;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.04806024081551427;-0.02637495308838678;-0.03701461409045867;0.007137055685959187;0.02061143494624633;0.03435830418028002;-3.44906557500703E-4
2.0;0.2;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.04616994934906877;-0.02827832766761507;-0.04277778270464629;-0.02789591510860742;0.01853461516755508;0.04009706124939006;-0.003956251145597824
1.4;0.3;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.06561294728965117;-0.04608566797067921;-0.0731564665073631;-0.01703420439386467;0.03347363064633979;0.0555177198507655;0.001319046538038155
1.6;0.3;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.06105599464732717;-0.04449521924688962;-0.09071805937513094;-0.00644345088088116;0.0319132285920701;0.05625226718856889;-0.001613321047120285
1.8;0.3;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.05751169814774184;-0.05095015869771734;-0.0882783987887614;0.03296920004890801;0.03113054309286568;0.05413139005804733;-5.522498241909727E-4
2.0;0.3;2.0;7.5;6;13.26029676927266;1.5627409610164609;0.05467626094807357;-0.03663172472537692;-0.07570720361391756;0.03505057957120906;0.03279845845012306;0.05152126931317998;-0.00585435154541708
