ALPHA_H;BETA;D_AGAP;R_ST_OUT;DX;DTHETA;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.8;0.1;2.0;7.5;0.5;45;0.1226503595217266;-0.01682708682025599;0.07290556517096253;-0.1226945156360023;0.001126167048477942;0.005246203745923696
2.0;0.1;2.0;7.5;0.5;45;0.1159779206255982;-0.002394741163499156;-0.0101727780462844;-0.1176597690844151;-1.377082142253044E-4;-0.00212890222353257
1.4;0.2;2.0;7.5;0.5;45;0.4450103717483367;0.01024956569223499;-0.02261848184080868;-0.4435882951161497;-0.003619625089153004;1.284731616827824E-4
1.6;0.2;2.0;7.5;0.5;45;0.4339469387331419;0.008763604454265236;-0.00211997852679835;-0.4300334641925744;-0.002217041663686528;0.001537444598191134
1.8;0.2;2.0;7.5;0.5;45;0.413086043760181;0.007938823533012802;0.03157232402303493;-0.407181993568526;-0.002494691772899854;7.258327059349912E-4
2.0;0.2;2.0;7.5;0.5;45;0.3888395553155749;0.008443271829799193;-0.01628570349941236;-0.3927717708175247;-9.050361997189329E-4;0.001368085935744923
1.4;0.3;2.0;7.5;0.5;45;0.7865710728972382;0.001436604716999483;0.004805294650895938;-0.7813807926032822;9.188783513395099E-4;-1.73712619566359E-4
1.6;0.3;2.0;7.5;0.5;45;0.751846455716836;0.008211175973261762;-0.01385566618069584;-0.7485837939699197;-0.001593328747431222;0.002818284442323853
1.8;0.3;2.0;7.5;0.5;45;0.7146141747529415;-0.005771086782164112;0.0334546490323457;-0.7111654463190594;2.729809030743106E-4;0.002389717206455125
2.0;0.3;2.0;7.5;0.5;45;0.6772079452290618;0.01893041750633258;0.04242970076100563;-0.6703503701623618;-0.001729513979802486;-0.003092208536431149
1.4;0.4;2.0;7.5;0.5;45;1.090440345162722;-0.005073100447488751;0.01312562409936251;-1.107756171028257;4.667462111906245E-5;0.00241991811671884
1.6;0.4;2.0;7.5;0.5;45;1.057386779416646;-0.006831877710286928;-0.006754920181521634;-1.049527109911544;-0.002623805697057197;-8.019781703981575E-5
1.8;0.4;2.0;7.5;0.5;45;0.9724479115219977;-0.002200334906410983;-3.487769566397391E-4;-0.983941837084877;-6.529090221532004E-4;-0.004357469173934311
2.0;0.4;2.0;7.5;0.5;45;0.9168456431625148;0.01411435800142362;-0.02185764577352366;-0.9245013621069639;0.002591241294955636;-0.004667283775626048
1.4;0.5;2.0;7.5;0.5;45;1.432373180359064;0.002547843112908844;-5.799170857216651E-5;-1.417075253077853;9.345147212265759E-4;0.003648040062769347
1.6;0.5;2.0;7.5;0.5;45;1.34021977321168;-0.01259216425753984;-0.02093449651416997;-1.333140639081672;0.005390090259949062;0.009962781494571823
1.8;0.5;2.0;7.5;0.5;45;1.256589334213668;-8.032950815923881E-4;0.05562189506260354;-1.246060114398683;0.00311923148164447;-0.00447764322801407
2.0;0.5;2.0;7.5;0.5;45;1.146887014399249;-0.006715692136386555;-0.01797601875100493;-1.159729718614742;-0.001707979086485014;-0.002281839947984328
1.4;0.1;2.5;7.5;0.5;45;0.06885408381865304;-0.01183049322372777;-0.01839905720321923;-0.06005025352391144;0.003084173534564425;-0.004024175158854644
1.6;0.1;2.5;7.5;0.5;45;0.04996316214267871;-0.01003019300009442;-0.02110089280062699;-0.05860866599974235;0.001610492888342098;0.002940516733571496
1.8;0.1;2.5;7.5;0.5;45;0.05389187275181363;-0.01582727566788144;0.04963319676604754;-0.05671604675686839;0.001427483338467929;0.001388863596851788
2.0;0.1;2.5;7.5;0.5;45;0.04345411785619913;-0.009231230735139144;-0.02022202368775586;-0.05482106066249393;9.090473798755343E-4;-0.001047121635172594
1.4;0.2;2.5;7.5;0.5;45;0.2221447917812152;0.001880621251874194;-0.02203003477640398;-0.2184432397141852;-6.550662566318253E-4;-0.001376371443729398
1.6;0.2;2.5;7.5;0.5;45;0.2049598529700512;0.008576333473912632;-0.02131995657809748;-0.2115201185327003;7.948049747437074E-4;7.541207981594487E-4
1.8;0.2;2.5;7.5;0.5;45;0.2069902025211915;-0.001565898815199198;-0.01122962620923704;-0.2043882300258642;-0.002990137896104187;-0.001264082475575307
2.0;0.2;2.5;7.5;0.5;45;0.2009267206928598;0.02281358512115726;-0.03960794615068036;-0.1980833074767741;-0.002308404262084292;-3.333876934692845E-4
1.4;0.3;2.5;7.5;0.5;45;0.40725611885024;-0.006784649166278734;0.02663357177687852;-0.4097903155628828;4.158845860122752E-4;-0.001971938133402003
1.6;0.3;2.5;7.5;0.5;45;0.3984721568032327;0.0036862772792201;0.01216845409261885;-0.3955666730916641;0.001597315324890439;4.677832833055598E-4
1.8;0.3;2.5;7.5;0.5;45;0.3812284499542624;-0.005790869062582952;0.002640207009510759;-0.3855408871728138;0.003176301899947725;0.004897123913643454
2.0;0.3;2.5;7.5;0.5;45;0.3653317270891546;-0.004049544916039406;0.01177871245052062;-0.3655878914560223;0.001796799797404039;0.001625153150625804
1.4;0.4;2.5;7.5;0.5;45;0.6021851323165452;-0.008328894587525726;0.008925310580689672;-0.6010788709026542;8.245359988862128E-4;-0.001153466090370449
1.6;0.4;2.5;7.5;0.5;45;0.5745064793400192;-0.002896609397323197;0.02386972571573039;-0.5768161210611977;3.454397025010893E-4;0.001635960064048069
1.8;0.4;2.5;7.5;0.5;45;0.5578448085496827;0.001460197820096962;9.473918404591022E-4;-0.5509500696510076;6.016102046430701E-4;0.002968282932892962
2.0;0.4;2.5;7.5;0.5;45;0.5245960087882066;-0.01629408193635046;0.023930319841394;-0.5308859544128909;0.001195385991419753;0.001814304675622606
1.4;0.5;2.5;7.5;0.5;45;0.7934567570926868;-0.007977152613282407;-0.01496161146521679;-0.7930649212514429;-8.412535422208916E-5;7.977981716781996E-4
1.6;0.5;2.5;7.5;0.5;45;0.7409947525523463;-0.01047407240760088;-0.001413367090832237;-0.748269298638435;-9.065587983121768E-4;0.004573187338196683
1.8;0.5;2.5;7.5;0.5;45;0.7026329425944946;-0.005299519428414546;0.01629512841273613;-0.7117029658904503;0.002204254270552636;0.004016254651935572
2.0;0.5;2.5;7.5;0.5;45;0.6795681175914408;-0.008034560595671727;3.596047637774418E-4;-0.6752562620279048;1.154019701586993E-4;-0.001055444033731565
