ALPHA_H;BETA;D_AGAP;R_ST_OUT;DZ;F_ROT_X;F_ROT_Y;F_ROT_Z;F_ST_X;F_ST_Y;F_ST_Z
1.4;0.2;2.5;7.5;0.5;0.007539715667891338;0.01531444525641646;-0.008812604543934743;-1.800398644534419E-4;-4.86251131327681E-4;0.05964858955248904
1.6;0.2;2.5;7.5;0.5;0.002471486175838477;-0.004150180826916822;-0.01946912366912898;0.001568931316676028;0.001758813359492451;0.06069289991084708
1.8;0.2;2.5;7.5;0.5;0.01718621039659773;0.009451767737267623;-0.006584230470460061;-2.060354931330394E-4;-0.001782716558508714;0.05839986061138076
2.0;0.2;2.5;7.5;0.5;0.01059615212354916;0.00946036662477434;-0.03475775512090969;-0.001342532284491656;-0.002401487358170057;0.05830172072613926
1.4;0.3;2.5;7.5;0.5;0.004616395973407109;-0.001730940195916081;-0.08115085545430592;3.386341196333543E-4;-0.003161452164308722;0.07884503739132796
1.6;0.3;2.5;7.5;0.5;0.01010700518306942;0.01109896524374903;-0.06402851224369839;-0.002422671165275416;-0.001351725671599329;0.08157786808091498
1.8;0.3;2.5;7.5;0.5;0.01183474343326417;-0.002566980976983135;-0.07416252029760363;-8.254381386673448E-5;-2.931906543177159E-4;0.0847029923634982
2.0;0.3;2.5;7.5;0.5;0.002727387621488071;0.00707875592391129;-0.04946604670139152;-0.001181525393864251;-8.165554442668332E-4;0.08247055218768716
1.4;0.4;2.5;7.5;0.5;-0.01094362418514721;-0.004053232675587675;-0.07348389576315674;6.348344685139463E-4;-0.001340210439027245;0.0889244167886015
1.6;0.4;2.5;7.5;0.5;9.893017494559276E-4;-0.001574943744603837;-0.1141388358340516;0.001629310988069957;-8.44851405245331E-4;0.09542722992077182
1.8;0.4;2.5;7.5;0.5;0.007031441930884784;0.004695877163293343;-0.05786277548430346;2.48313627530126E-4;-0.001435991015036882;0.09287261284172102
2.0;0.4;2.5;7.5;0.5;-0.004956877633385873;-6.985696775590753E-4;-0.09984891065507273;0.002063162814569938;-6.15002502058328E-4;0.09244960343438227
1.4;0.5;2.5;7.5;0.5;-0.007074024404563377;-0.003417449867795451;-0.06080868356072077;-1.813700824676414E-4;-3.496039506354553E-4;0.09260181951583955
1.6;0.5;2.5;7.5;0.5;-0.01578434799373439;0.008007079431802872;-0.05951856346517793;-5.442563646350408E-4;7.079001749597039E-4;0.09353507673523834
